statsMetaNo,age,gender,occupation
16030,63,M,무직
16030,78,F,자유업
16030,63,M,자유업
16030,46,M,회사원
16030,48,M,무직
16030,70,M,기타
16030,54,M,기타
16030,70,F,주부
16030,56,M,자유업
16030,54,F,주부
16030,70,F,주부
16030,44,F,무직
16030,64,M,자유업
16030,68,M,기타
16030,48,M,기타
16030,68,M,자유업
16030,56,M,회사원
16030,43,F,기타
16030,70,M,무직
16030,66,F,주부
16030,37,F,주부
16030,75,M,
16030,48,F,기타
16030,71,M,무직
16030,57,M,기타
16030,47,F,주부
16030,58,F,교사
16030,57,F,자유업
16030,35,M,전문직
16030,48,F,주부
16030,39,F,자유업
16030,66,F,주부
16030,76,M,기타
16030,55,M,회사원
16030,37,M,회사원
16030,61,M,기타
16030,47,M,회사원
16030,50,F,주부
16030,50,M,무직
16030,45,F,무직
16030,71,M,무직
16030,59,F,주부
16030,48,F,회사원
16030,66,M,
16030,67,M,자유업
16030,48,M,자유업
16030,55,F,무직
16030,49,M,회사원
16030,51,M,무직
16030,46,F,주부
16030,81,F,주부
16030,43,F,회사원
16030,63,M,
16030,48,M,회사원
16030,54,M,무직
16030,58,F,주부
16030,72,F,무직
16030,49,F,회사원
16030,37,M,기타
16030,56,F,회사원
16030,73,F,무직
16030,50,F,주부
16030,61,F,기타
16030,55,M,회사원
16030,58,F,주부
16030,50,M,기타
16030,27,M,기타
16030,54,M,자유업
16030,73,F,주부
16030,55,F,자유업
16030,50,M,전문직
16030,56,M,자유업
16030,60,M,자유업
16030,63,M,기타
16030,58,M,회사원
16030,56,M,기타
16030,72,M,무직
16030,41,M,회사원
16030,58,F,회사원
16030,49,F,회사원
16030,72,F,기타
16030,79,F,주부
16030,39,M,기타
16030,70,M,무직
16030,58,M,회사원
16030,48,M,무직
16030,69,M,
16030,80,M,기타
16030,71,M,무직
16030,65,M,회사원
16030,74,M,무직
16030,62,M,기타
16030,69,M,무직
16030,59,M,무직
16030,73,F,무직
16030,46,M,기타
16030,60,M,자유업
16030,65,M,무직
16030,57,M,회사원
16030,48,F,회사원
16030,58,M,기타
16030,65,M,무직
16030,61,M,회사원
16030,66,M,무직
16030,41,M,자유업
16030,68,M,기타
16030,75,M,무직
16030,71,F,주부
16030,56,M,무직
16030,77,M,무직
16030,54,M,기타
16030,74,M,기타
16030,58,M,기타
16030,56,M,기타
16030,59,F,주부
16030,60,F,주부
16030,52,M,회사원
16030,65,M,기타
16030,73,M,무직
16030,83,M,무직
16030,71,M,기타
16030,62,M,자유업
16030,55,M,
16030,60,F,주부
16030,43,M,무직
16030,55,M,교사
16030,56,F,주부
16030,68,M,기타
16030,43,M,자유업
16030,73,F,주부
16030,36,M,무직
16030,61,M,무직
16030,45,M,회사원
16030,63,F,자유업
16030,58,F,기타
16030,88,M,무직
16030,59,M,무직
16030,48,F,무직
16030,66,F,주부
16030,85,M,무직
16030,61,M,무직
16030,51,M,자유업
16030,47,M,기타
16030,62,M,기타
16030,70,M,무직
16030,66,M,무직
16030,45,M,기타
16030,54,F,주부
16030,44,M,회사원
16030,54,M,회사원
16030,67,M,무직
16030,75,M,무직
16030,72,M,무직
16030,21,M,학생
16030,80,F,무직
16030,70,M,자유업
16030,63,F,자유업
16030,57,M,자유업
16030,46,M,회사원
16030,67,M,무직
16030,63,M,자유업
16030,69,M,회사원
16030,78,F,주부
16030,50,M,기타
16030,48,M,자유업
16030,58,M,자유업
16030,49,M,기타
16030,42,M,
16030,71,M,무직
16030,74,M,전문직
16030,61,F,기타
16030,54,M,무직
16030,49,F,전문직
16030,39,M,회사원
16030,45,M,자유업
16030,62,M,회사원
16030,68,F,주부
16030,32,M,기타
16030,64,F,주부
16030,62,M,무직
16030,38,M,무직
16030,71,M,무직
16030,43,M,회사원
16030,62,M,무직
16030,56,M,자유업
16030,71,M,자유업
16030,66,M,자유업
16030,35,M,
16030,51,M,자유업
16030,33,M,기타
16030,61,M,무직
16030,80,M,기타
16030,68,M,자유업
16030,64,M,자유업
16030,67,M,기타
16030,64,M,기타
16030,61,M,회사원
16030,50,F,무직
16030,60,M,무직
16030,52,M,기타
16030,63,F,주부
16030,74,F,주부
16030,78,M,무직
16030,44,M,교사
16030,54,M,회사원
16030,50,F,자유업
16030,43,M,기타
16030,26,F,회사원
16030,47,M,회사원
16030,56,M,무직
16030,61,M,자유업
16030,58,M,무직
16030,64,M,회사원
16030,45,M,회사원
16030,44,M,기타
16030,46,M,자유업
16030,54,M,회사원
16030,64,M,회사원
16030,46,M,자유업
16030,67,F,기타
16030,75,F,주부
16030,56,M,회사원
16030,72,M,회사원
16030,61,F,주부
16030,48,M,기타
16030,71,F,주부
16030,53,F,전문직
16030,53,M,회사원
16030,70,M,자유업
16030,69,F,무직
16030,69,M,무직
16030,41,M,무직
16030,61,F,무직
16030,79,M,무직
16030,35,M,전문직
16030,75,M,자유업
16030,63,M,무직
16030,83,M,무직
16030,34,F,주부
16030,68,F,주부
16030,69,F,무직
16030,64,M,기타
16030,48,F,회사원
16030,39,F,자유업
16030,56,M,회사원
16030,48,M,자유업
16030,42,M,자유업
16030,57,F,주부
16030,65,F,주부
16030,54,M,자유업
16030,51,M,회사원
16030,51,M,전문직
16030,81,M,무직
16030,50,M,자유업
16030,76,F,무직
16030,54,F,전문직
16030,82,F,무직
